"ID Screen","Nama Screen","Prioritas","Fase","Status Desain","Deskripsi Screen","Nama Komponen","Tipe Komponen","SDUI Slot","States yang Wajib","Spesifikasi Token","Prompt Visual (AI)","Kriteria Penerimaan (Acceptance Criteria)","A11y Verified","File Spec"
"screen-001","Screen/Auth","P0-critical","mvp","specified","Thematic Vault Security Auth Flow (Login & Register)","AuthFormCard","-","-","default, loading","-","-","","Contrast: true, Touch: true","./screens/auth/specs.md"
"screen-001","Screen/Auth","P0-critical","mvp","specified","Thematic Vault Security Auth Flow (Login & Register)","InputField","-","-","default, focus, error, disabled","-","-","","Contrast: true, Touch: true","./screens/auth/specs.md"
"screen-001","Screen/Auth","P0-critical","mvp","specified","Thematic Vault Security Auth Flow (Login & Register)","ButtonPrimary","-","-","default, pressed, disabled, loading","-","-","","Contrast: true, Touch: true","./screens/auth/specs.md"
"screen-002","Screen/Home","P0-critical","mvp","specified","Dashboard with Emerald Platinum Virtual Card & Quick Actions","WalletCard","-","-","loaded, skeleton, masked_balance","-","-","","Contrast: true, Touch: true","./screens/home/specs.md"
"screen-002","Screen/Home","P0-critical","mvp","specified","Dashboard with Emerald Platinum Virtual Card & Quick Actions","QuickActionItem","-","-","default, pressed, disabled","-","-","","Contrast: true, Touch: true","./screens/home/specs.md"
"screen-002","Screen/Home","P0-critical","mvp","specified","Dashboard with Emerald Platinum Virtual Card & Quick Actions","NotificationBell","-","-","default, unread_badge, pressed","-","-","","Contrast: true, Touch: true","./screens/home/specs.md"
"screen-003","Screen/Transaction-detail","P0-critical","mvp","specified","Digital Receipt Voucher Card (Screen #26)","ReceiptStatusHeader","-","-","success, pending_aml, failed","-","-","","Contrast: true, Touch: true","./screens/transaction-detail/specs.md"
"screen-003","Screen/Transaction-detail","P0-critical","mvp","specified","Digital Receipt Voucher Card (Screen #26)","ReceiptAmountDisplay","-","-","loaded, skeleton","-","-","","Contrast: true, Touch: true","./screens/transaction-detail/specs.md"
"screen-003","Screen/Transaction-detail","P0-critical","mvp","specified","Digital Receipt Voucher Card (Screen #26)","ReceiptActionShare","-","-","default, pressed, loading","-","-","","Contrast: true, Touch: true","./screens/transaction-detail/specs.md"
"screen-004","Screen/Transfer","P0-critical","mvp","specified","P2P Transfer with Haptic PIN Modal","InputRecipient","-","-","default, focus, error","-","-","","Contrast: true, Touch: true","./screens/transfer/specs.md"
"screen-004","Screen/Transfer","P0-critical","mvp","specified","P2P Transfer with Haptic PIN Modal","PinModal","-","-","default, error_shake, verified","-","-","","Contrast: true, Touch: true","./screens/transfer/specs.md"
"screen-004","Screen/Transfer","P0-critical","mvp","specified","P2P Transfer with Haptic PIN Modal","ButtonContinue","-","-","default, pressed, disabled, loading","-","-","","Contrast: true, Touch: true","./screens/transfer/specs.md"
"screen-005","Screen/Withdraw","P1-high","mvp","specified","Bank Withdrawal & Cashout Flow","BankDropdown","-","-","default, active, selected","-","-","","Contrast: true, Touch: true","./screens/withdraw/specs.md"
"screen-005","Screen/Withdraw","P1-high","mvp","specified","Bank Withdrawal & Cashout Flow","InputAccount","-","-","default, focus, error","-","-","","Contrast: true, Touch: true","./screens/withdraw/specs.md"
"screen-005","Screen/Withdraw","P1-high","mvp","specified","Bank Withdrawal & Cashout Flow","ButtonWithdraw","-","-","default, pressed, disabled, loading","-","-","","Contrast: true, Touch: true","./screens/withdraw/specs.md"
"screen-006","Screen/History","P1-high","mvp","specified","Transaction History Ledger with Category Filter","FilterChip","-","-","default, active","-","-","","Contrast: true, Touch: true","./screens/history/specs.md"
"screen-006","Screen/History","P1-high","mvp","specified","Transaction History Ledger with Category Filter","TransactionCardItem","-","-","default, pressed, loading_skeleton","-","-","","Contrast: true, Touch: true","./screens/history/specs.md"
"screen-006","Screen/History","P1-high","mvp","specified","Transaction History Ledger with Category Filter","EmptyStateWidget","-","-","visible, hidden","-","-","","Contrast: true, Touch: true","./screens/history/specs.md"
"screen-007","Screen/Admin-dashboard","P1-high","mvp","specified","Executive Governance & Clearing Backoffice","StatCard","-","-","loaded, loading_skeleton","-","-","","Contrast: true, Touch: true","./screens/admin-dashboard/specs.md"
"screen-007","Screen/Admin-dashboard","P1-high","mvp","specified","Executive Governance & Clearing Backoffice","AdminMenuCard","-","-","default, pressed","-","-","","Contrast: true, Touch: true","./screens/admin-dashboard/specs.md"
